date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:17	27095/27095	---M--	200	added ('OK')	image/jpeg	etag:%22e904164cb2db03382510e3b5fa8acacc%22	http://theme.hstatic.net/1000309459/1000717021/14/home_category_5_banner.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/home_category_5_bannere0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:37:23	210612/210612	---M--	200	added ('OK')	image/jpeg	etag:%2275a33f22ca8543665f8c98e93c21b5ab%22	http://theme.hstatic.net/1000309459/1000717021/14/slideshow_2.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/slideshow_2e0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:37:27	1534/1534	---M--	200	added ('OK')	image/jpeg	etag:%2252ae69a960ee3d22c372da460a7f6d7b%22	http://product.hstatic.net/1000309459/product/sp8-1_5d1c7dc8e938478290333f2625515d68_28699549035a4a1e8823d70b9a6f8388_medium.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp8-1_5d1c7dc8e938478290333f2625515d68_28699549035a4a1e8823d70b9a6f8388_medium.jpg	(from https://modern-furniture.myharavan.com/)
14:37:33	6003/6003	---M--	200	added ('OK')	image/jpeg	etag:%22b34cd8f56b46d683fa0720a9ec57519b%22	http://product.hstatic.net/1000309459/product/sp8-1_5d1c7dc8e938478290333f2625515d68_28699549035a4a1e8823d70b9a6f8388_large.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp8-1_5d1c7dc8e938478290333f2625515d68_28699549035a4a1e8823d70b9a6f8388_large.jpg	(from https://modern-furniture.myharavan.com/)
14:37:36	8733/8733	---M--	200	added ('OK')	image/jpeg	etag:%2234528e8d35d813bc40ad29644372e954%22	http://product.hstatic.net/1000309459/product/sp8-1_5d1c7dc8e938478290333f2625515d68_28699549035a4a1e8823d70b9a6f8388_grande.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp8-1_5d1c7dc8e938478290333f2625515d68_28699549035a4a1e8823d70b9a6f8388_grande.jpg	(from https://modern-furniture.myharavan.com/)
14:37:39	2069/2069	---M--	200	added ('OK')	image/jpeg	etag:%22c08eb9480b37d365e7fc11d5c4f055fd%22	http://product.hstatic.net/1000309459/product/sp8-2_6a27ed54ad9849a3ae439de360094566_335fe1b291f9457b9e139fd22df5f1ac_medium.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp8-2_6a27ed54ad9849a3ae439de360094566_335fe1b291f9457b9e139fd22df5f1ac_medium.jpg	(from https://modern-furniture.myharavan.com/)
14:37:43	330759/330759	---M--	200	added ('OK')	image/jpeg	etag:%22dfb896840295dfa14f9bd39baf9b5f56%22	http://theme.hstatic.net/1000309459/1000717021/14/slideshow_3.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/slideshow_3e0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:37:43	7175/7175	---M--	200	added ('OK')	image/jpeg	etag:%22b506d82ad69a480d44e7d6db2c99e496%22	http://product.hstatic.net/1000309459/product/sp8-2_6a27ed54ad9849a3ae439de360094566_335fe1b291f9457b9e139fd22df5f1ac_large.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp8-2_6a27ed54ad9849a3ae439de360094566_335fe1b291f9457b9e139fd22df5f1ac_large.jpg	(from https://modern-furniture.myharavan.com/)
14:37:47	10215/10215	---M--	200	added ('OK')	image/jpeg	etag:%22957ef954ba21e9cf4d14282ae06b9041%22	http://product.hstatic.net/1000309459/product/sp8-2_6a27ed54ad9849a3ae439de360094566_335fe1b291f9457b9e139fd22df5f1ac_grande.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp8-2_6a27ed54ad9849a3ae439de360094566_335fe1b291f9457b9e139fd22df5f1ac_grande.jpg	(from https://modern-furniture.myharavan.com/)
14:37:50	2686/2686	---M--	200	added ('OK')	image/jpeg	etag:%22fd5822dff64256a96ea6cf7ba4a1537b%22	http://product.hstatic.net/1000309459/product/sp4-2_97670563a9c9462e91b405158f85b77a_1e84319ca6f74a5fbe7043f038a05166_medium.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp4-2_97670563a9c9462e91b405158f85b77a_1e84319ca6f74a5fbe7043f038a05166_medium.jpg	(from https://modern-furniture.myharavan.com/)
14:37:51	575347/575347	---MCZ	200	added ('OK')	text/html	etag:W/%2249435a4d3eba47ada223b4559b47481b%22	https://modern-furniture.myharavan.com/collections/frontpage	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/collections/frontpage.html	(from https://modern-furniture.myharavan.com/)
14:37:53	8728/8728	---M--	200	added ('OK')	image/jpeg	etag:%222c2fd98cece25b456389359b7085a659%22	http://product.hstatic.net/1000309459/product/sp4-2_97670563a9c9462e91b405158f85b77a_1e84319ca6f74a5fbe7043f038a05166_large.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp4-2_97670563a9c9462e91b405158f85b77a_1e84319ca6f74a5fbe7043f038a05166_large.jpg	(from https://modern-furniture.myharavan.com/)
14:37:55	12194/12194	---M--	200	added ('OK')	image/jpeg	etag:%229b40231e859e2d7de417cb933768c35b%22	http://product.hstatic.net/1000309459/product/sp4-2_97670563a9c9462e91b405158f85b77a_1e84319ca6f74a5fbe7043f038a05166_grande.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp4-2_97670563a9c9462e91b405158f85b77a_1e84319ca6f74a5fbe7043f038a05166_grande.jpg	(from https://modern-furniture.myharavan.com/)
14:37:55	1975/1975	---M--	200	added ('OK')	image/jpeg	etag:%22e872bd94e600518489e670fe02e0b96a%22	http://product.hstatic.net/1000309459/product/sp4-1_9ccb76a9510a4e1b9e2e4a2ab0280193_7e7cc08c1bab4fb58044c535b9755b13_medium.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp4-1_9ccb76a9510a4e1b9e2e4a2ab0280193_7e7cc08c1bab4fb58044c535b9755b13_medium.jpg	(from https://modern-furniture.myharavan.com/)
14:37:55	649151/649151	---MCZ	200	added ('OK')	text/html	etag:W/%223ecbf06411bb4436a9d78f63a69aefc8%22	https://modern-furniture.myharavan.com/products/den-de-ban-gon-nhe-petite	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/products/den-de-ban-gon-nhe-petite.html	(from https://modern-furniture.myharavan.com/)
14:37:57	6409/6409	---M--	200	added ('OK')	image/jpeg	etag:%2276da0366ce316e7fc5cb57f3dbfa5cbb%22	http://product.hstatic.net/1000309459/product/sp4-1_9ccb76a9510a4e1b9e2e4a2ab0280193_7e7cc08c1bab4fb58044c535b9755b13_large.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp4-1_9ccb76a9510a4e1b9e2e4a2ab0280193_7e7cc08c1bab4fb58044c535b9755b13_large.jpg	(from https://modern-furniture.myharavan.com/)
14:37:59	8796/8796	---M--	200	added ('OK')	image/jpeg	etag:%223ddfee1f44b485e6e6afde524efef24f%22	http://product.hstatic.net/1000309459/product/sp4-1_9ccb76a9510a4e1b9e2e4a2ab0280193_7e7cc08c1bab4fb58044c535b9755b13_grande.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp4-1_9ccb76a9510a4e1b9e2e4a2ab0280193_7e7cc08c1bab4fb58044c535b9755b13_grande.jpg	(from https://modern-furniture.myharavan.com/)
14:37:59	643496/643496	---MCZ	200	added ('OK')	text/html	etag:W/%227ba66822223b45c19db56f659a8b4474%22	https://modern-furniture.myharavan.com/products/den-treo-sang-trong-hubert	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/products/den-treo-sang-trong-hubert.html	(from https://modern-furniture.myharavan.com/)
14:37:59	643328/643328	---MCZ	200	added ('OK')	text/html	etag:W/%222d1e7535201f4c1a8b35c7d9b2cb00b2%22	https://modern-furniture.myharavan.com/products/ghe-go-bap-benh-iconic	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/products/ghe-go-bap-benh-iconic.html	(from https://modern-furniture.myharavan.com/)
14:38:01	2698/2698	---M--	200	added ('OK')	image/jpeg	etag:%220d866b2b66b4d531ca735113b14eaa42%22	http://product.hstatic.net/1000309459/product/sp5-2_fde6cf697c5343489c0715a2a77c9161_8ccf08b77b384087b8e47d0d62541382_medium.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp5-2_fde6cf697c5343489c0715a2a77c9161_8ccf08b77b384087b8e47d0d62541382_medium.jpg	(from https://modern-furniture.myharavan.com/)
14:38:01	9330/9330	---M--	200	added ('OK')	image/jpeg	etag:%22a13dd7ec3d9fa661af3bcbe26d95a92f%22	http://product.hstatic.net/1000309459/product/sp5-2_fde6cf697c5343489c0715a2a77c9161_8ccf08b77b384087b8e47d0d62541382_large.jpg	/home/luong/Downloads/clone_code/theme_book/product.hstatic.net/1000309459/product/sp5-2_fde6cf697c5343489c0715a2a77c9161_8ccf08b77b384087b8e47d0d62541382_large.jpg	(from https://modern-furniture.myharavan.com/)
